,COVID Status,Gender,Race,Hispanic or Latino/A,Age,Trust in science (1-5 scale with 5 indicating most trust),Level of religious commitment (1-10 scale with 10 indicating highest trust),Political orientation (1-10 scale with 10 indicating most conservative and 1 indicating most liberal),How serious would it be for you if you contract COVID-19 in the next year? (1-10 scale with 10 being most serious),How confident are you that you can prevent getting COVID-19 in case of an outbreak? (1-5 scale with 5 being very confident),Please indicate your level of agreement with this statement: ‘My family and friends avoid crowded areas.’ (1-7 scale with 7 being strongly agree),I intend to get vaccinated for COVID-19 when the vaccine becomes available to me. (1-7 scale with 7 being Likely and 1 being Unlikely)
119,Hasn't had COVID,Male,White,Hispanic or Latino/A,31,5,3,3,10,4,5,7
120,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,31,3,5,4,4,4,2,4
121,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,40,5,6,5,9,1,7,7
122,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,42,3,1,1,3,2,4,4
123,Had COVID,Female,White,Not Hispanic or Latino/A,9,4,4,2,8,3,2,6
124,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,33,2,5,7,9,1,7,3
125,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,41,3,7,3,10,5,6,6
126,Hasn't had COVID,Female,White,Hispanic or Latino/A,61,4,4,4,9,5,2,6
127,Hasn't had COVID,Female,White,Hispanic or Latino/A,67,2,5,3,6,4,7,4
128,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,51,5,5,1,9,2,4,7
129,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,52,5,6,3,9,3,7,7
130,Had COVID,Male,Black or African American,Not Hispanic or Latino/A,26,2,2,6,4,5,7,2
131,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,35,2,4,1,5,1,7,4
132,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,19,2,3,6,8,2,5,4
133,Had COVID,Male,White,Hispanic or Latino/A,45,2,2,6,7,5,2,3
134,Had COVID,Female,White,Hispanic or Latino/A,34,5,2,2,4,5,7,7
135,Hasn't had COVID,Non-Binary or Transgender,White,Hispanic or Latino/A,51,5,4,2,6,3,7,7
136,Had COVID,Female,White,Not Hispanic or Latino/A,29,5,5,3,10,4,7,7
137,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,21,3,4,5,8,4,2,3
138,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,20,2,5,7,6,1,4,2
139,Hasn't had COVID,Male,Other,Hispanic or Latino/A,49,5,6,3,4,4,5,6
140,Hasn't had COVID,Non-Binary or Transgender,Asian,Not Hispanic or Latino/A,49,4,5,3,7,3,3,6
141,Had COVID,Male,Black or African American,Not Hispanic or Latino/A,62,4,5,3,6,4,2,5
142,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,45,5,3,2,5,1,6,6
143,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,28,2,4,3,9,2,7,5
144,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,32,4,1,1,10,2,5,7
145,Had COVID,Male,Black or African American,Not Hispanic or Latino/A,39,1,5,1,5,4,5,2
146,Hasn't had COVID,Male,White,Hispanic or Latino/A,14,1,5,4,7,1,2,3
147,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,31,4,2,3,5,5,6,6
148,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,31,5,3,5,7,4,7,7
149,Hasn't had COVID,Male,Asian,Hispanic or Latino/A,11,4,4,1,9,4,2,7
150,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,30,2,8,2,10,5,2,4
151,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,42,2,5,6,8,4,5,3
152,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,48,4,5,3,6,5,5,6
153,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,43,5,4,1,6,3,7,7
154,Hasn't had COVID,Female,White,Hispanic or Latino/A,33,4,1,1,5,3,7,6
155,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,48,3,3,3,3,5,7,4
156,Hasn't had COVID,Female,White,Hispanic or Latino/A,36,4,5,3,10,3,5,7
157,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,34,5,2,6,10,5,5,7
158,Hasn't had COVID,Female,Black or African American,Hispanic or Latino/A,50,4,1,1,10,2,7,6
159,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,37,2,4,3,10,5,4,3
160,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,19,4,2,1,5,4,7,6
161,Hasn't had COVID,Male,White,Hispanic or Latino/A,50,1,2,8,6,3,6,2
162,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,61,3,8,7,8,1,1,4
163,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,35,2,1,5,7,4,4,3
164,Had COVID,Female,Asian,Not Hispanic or Latino/A,47,5,5,5,10,3,7,7
165,Hasn't had COVID,Female,White,Hispanic or Latino/A,53,2,7,3,5,5,5,4
166,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,55,5,8,2,10,5,4,7
167,Hasn't had COVID,Female,Black or African American,Hispanic or Latino/A,28,5,7,2,2,5,7,5
168,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,34,5,3,4,5,5,5,6
169,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,37,5,7,1,7,3,5,7
170,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,34,1,10,4,6,4,6,3
171,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,42,5,1,5,8,3,5,7
172,Had COVID,Female,Asian,Hispanic or Latino/A,34,3,6,2,3,1,7,5
173,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,25,4,1,4,10,2,7,7
174,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,19,4,3,5,4,5,6,5
175,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,77,1,4,3,4,5,5,2
176,Hasn't had COVID,Female,White,Hispanic or Latino/A,45,5,2,6,8,3,2,7
177,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,43,1,2,3,5,5,7,3
178,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,42,5,5,2,6,5,7,7
179,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,24,5,2,6,5,1,7,6
180,Hasn't had COVID,Non-Binary or Transgender,Black or African American,Hispanic or Latino/A,59,2,5,5,8,1,4,3
181,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,31,2,3,1,7,5,7,4
182,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,41,3,2,6,4,2,7,5
183,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,40,1,6,7,4,3,7,2
184,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,32,4,2,3,6,1,6,6
185,Hasn't had COVID,Female,Black or African American,Hispanic or Latino/A,50,3,7,3,9,4,5,4
186,Hasn't had COVID,Male,Other,Not Hispanic or Latino/A,42,5,4,4,9,1,7,7
187,Hasn't had COVID,Female,White,Hispanic or Latino/A,56,5,3,1,6,5,4,7
188,Hasn't had COVID,Non-Binary or Transgender,White,Not Hispanic or Latino/A,34,5,1,5,10,3,5,7
189,Hasn't had COVID,Male,Other,Hispanic or Latino/A,45,4,1,4,10,2,5,6
190,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,36,3,3,4,6,5,2,4
191,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,41,2,4,2,7,2,1,4
192,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,9,4,4,3,8,1,2,6
193,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,44,4,2,3,5,2,7,6
194,Had COVID,Male,White,Hispanic or Latino/A,21,5,5,4,9,3,5,7
195,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,55,3,6,7,8,3,5,5
196,Hasn't had COVID,Male,Other,Not Hispanic or Latino/A,48,2,5,4,8,4,7,4
197,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,37,2,2,4,9,2,5,4
198,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,31,5,3,3,8,2,5,6
199,Had COVID,Female,White,Not Hispanic or Latino/A,50,4,7,5,7,1,6,6
200,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,43,3,3,1,7,3,4,5
201,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,37,5,3,1,8,3,7,7
202,Had COVID,Male,Asian,Not Hispanic or Latino/A,38,2,1,2,6,1,7,5
203,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,45,3,2,4,7,4,5,5
204,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,55,2,4,3,10,2,1,4
205,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,26,5,3,3,2,3,7,6
206,Hasn't had COVID,Male,White,Hispanic or Latino/A,24,2,6,2,10,1,4,5
207,Had COVID,Male,White,Not Hispanic or Latino/A,30,5,3,4,3,3,6,6
208,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,30,2,5,6,10,4,7,4
209,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,41,1,4,1,3,5,7,2
210,Hasn't had COVID,Male,Other,Not Hispanic or Latino/A,34,4,5,3,8,3,4,6
211,Hasn't had COVID,Male,Black or African American,Hispanic or Latino/A,19,4,5,6,4,3,7,4
212,Had COVID,Female,Other,Not Hispanic or Latino/A,26,5,2,1,10,2,1,7
213,Hasn't had COVID,Male,Other,Hispanic or Latino/A,43,5,1,2,9,4,6,7
214,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,41,5,6,3,7,3,3,7
215,Hasn't had COVID,Female,White,Hispanic or Latino/A,26,4,5,3,8,4,7,6
216,Hasn't had COVID,Male,White,Hispanic or Latino/A,49,2,4,5,9,4,5,4
217,Hasn't had COVID,Male,White,Hispanic or Latino/A,43,5,3,1,7,3,7,7
218,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,38,5,5,3,9,1,1,6
219,Hasn't had COVID,Female,White,Hispanic or Latino/A,65,3,7,5,10,3,5,5
220,Hasn't had COVID,Non-Binary or Transgender,White,Hispanic or Latino/A,31,4,6,1,3,2,7,6
221,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,43,1,2,1,8,5,3,3
222,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,20,5,8,5,10,2,4,7
223,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,61,4,4,4,5,2,7,5
224,Had COVID,Female,White,Not Hispanic or Latino/A,33,5,5,3,6,3,3,7
225,Had COVID,Male,Asian,Not Hispanic or Latino/A,45,1,1,6,4,2,4,2
226,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,51,2,5,1,8,3,1,4
227,Hasn't had COVID,Male,Black or African American,Hispanic or Latino/A,56,2,6,1,9,3,7,4
228,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,35,5,4,2,6,2,6,7
229,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,62,2,4,3,5,5,4,3
230,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,41,5,5,3,1,4,2,5
231,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,21,2,3,10,8,1,3,3
232,Hasn't had COVID,Female,White,Hispanic or Latino/A,27,5,3,4,8,3,5,7
233,Hasn't had COVID,Female,Other,Not Hispanic or Latino/A,60,5,1,1,5,2,7,7
234,Hasn't had COVID,Female,White,Hispanic or Latino/A,38,5,2,2,5,3,7,7
235,Hasn't had COVID,Male,White,Hispanic or Latino/A,41,5,2,1,5,3,7,7
236,Hasn't had COVID,Female,Black or African American,Hispanic or Latino/A,49,5,4,3,8,5,4,6
237,Hasn't had COVID,Female,Other,Hispanic or Latino/A,44,3,4,2,10,4,5,5
238,Hasn't had COVID,Female,White,Hispanic or Latino/A,53,5,4,1,7,3,7,7
239,Hasn't had COVID,Female,White,Hispanic or Latino/A,7,5,2,5,8,5,4,7
240,Had COVID,Female,Other,Not Hispanic or Latino/A,37,4,8,5,9,1,6,6
241,Hasn't had COVID,Female,White,Hispanic or Latino/A,31,5,6,1,6,3,6,7
242,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,39,4,4,6,7,2,6,5
243,Hasn't had COVID,Male,Asian,Hispanic or Latino/A,11,5,10,4,7,4,7,7
244,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,29,5,7,7,6,4,6,7
245,Hasn't had COVID,Female,White,Hispanic or Latino/A,17,5,2,7,5,5,4,6
246,Hasn't had COVID,Female,White,Hispanic or Latino/A,29,2,2,3,9,3,5,4
247,Hasn't had COVID,Male,White,Hispanic or Latino/A,38,1,2,5,6,4,6,3
248,Had COVID,Female,Asian,Hispanic or Latino/A,51,5,3,1,8,5,5,7
249,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,63,4,3,4,3,2,6,5
250,Hasn't had COVID,Female,Other,Not Hispanic or Latino/A,37,4,7,4,9,4,6,6
251,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,24,4,4,2,6,3,7,5
252,Hasn't had COVID,Female,Other,Not Hispanic or Latino/A,34,5,9,8,6,1,4,6
253,Hasn't had COVID,Female,White,Hispanic or Latino/A,34,2,4,3,7,2,2,4
254,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,8,3,3,1,6,4,7,5
255,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,29,4,7,5,9,4,5,5
256,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,43,4,5,3,9,2,3,6
257,Hasn't had COVID,Female,Black or African American,Not Hispanic or Latino/A,45,1,2,1,8,4,3,2
258,Hasn't had COVID,Female,Asian,Hispanic or Latino/A,28,5,1,4,8,1,6,7
259,Had COVID,Female,Black or African American,Not Hispanic or Latino/A,41,1,2,2,9,3,5,3
260,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,31,3,3,3,6,5,7,5
261,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,22,5,4,1,7,2,5,7
262,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,29,2,2,7,10,4,6,3
263,Hasn't had COVID,Female,Asian,Not Hispanic or Latino/A,32,2,4,3,7,4,7,4
264,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,41,5,3,4,7,5,7,7
265,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,36,4,3,3,3,4,7,5
266,Hasn't had COVID,Female,Black or African American,Hispanic or Latino/A,47,3,1,6,10,2,7,4
267,Hasn't had COVID,Male,Asian,Not Hispanic or Latino/A,41,4,2,3,8,3,4,6
268,Hasn't had COVID,Male,White,Hispanic or Latino/A,23,1,3,3,3,4,7,2
269,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,40,1,3,2,5,3,6,3
270,Had COVID,Male,White,Hispanic or Latino/A,17,1,6,4,6,5,7,3
271,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,36,4,5,1,10,1,7,7
272,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,30,4,4,3,5,5,2,5
273,Hasn't had COVID,Male,Black or African American,Not Hispanic or Latino/A,50,5,1,1,10,1,7,7
274,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,36,1,4,2,9,5,5,3
275,Had COVID,Male,White,Not Hispanic or Latino/A,17,3,2,3,10,3,6,6
276,Hasn't had COVID,Female,Other,Hispanic or Latino/A,42,3,1,1,10,5,4,5
277,Hasn't had COVID,Male,Other,Not Hispanic or Latino/A,48,4,4,2,1,4,3,4
278,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,36,3,1,1,10,5,6,6
279,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,26,3,6,3,5,5,5,4
280,Hasn't had COVID,Male,White,Not Hispanic or Latino/A,12,4,8,5,7,5,5,6
281,Hasn't had COVID,Male,White,Hispanic or Latino/A,16,5,2,3,8,3,3,7
282,Hasn't had COVID,Female,White,Not Hispanic or Latino/A,48,5,3,6,2,3,4,5
